aid,field,pub_date,snap_ts,downloads,abstract_views
2360737,Economics; Econometrics and Finance,2013-01-01,20250531113524,171,2480
2529759,Economics; Econometrics and Finance,2014-01-01,20250426112930,36,394
4175034,Engineering,2022-01-01,20250505174311,12,145
2312026,Economics; Econometrics and Finance,2012-01-01,20250425215700,100,1094
2561534,Social Sciences,2015-01-01,20260126043915,129,1111
4301920,Engineering,2022-01-01,20250506152119,33,188
4784957,Computer Science,2024-01-01,20240914214059,19,98
4139742,Social Sciences,2022-01-01,20250505091725,18,138
2005252,Social Sciences,2012-01-01,20240419133511,521,3001
3994510,Engineering,2021-01-01,20250506191143,23,263
1268230,Economics; Econometrics and Finance,2008-01-01,20240914202646,312,1901
1941018,Social Sciences,2011-01-01,20250425173705,52,527
2764989,Social Sciences,2015-01-01,20240423095508,80,530
5101530,Biochemistry; Genetics and Molecular Biology,2025-01-01,20250430131821,30,129
1470635,Business; Management and Accounting,2009-01-01,20221121044234,74,676
4221803,Chemical Engineering,2022-01-01,20250507030541,27,181
2858903,Business; Management and Accounting,2016-01-01,20251111094738,150,1268
4116194,Environmental Science,2022-01-01,20250505092034,35,244
2497218,Economics; Econometrics and Finance,2014-01-01,20250516022912,380,3481
3986417,Social Sciences,2022-02-11,20260809033130,289,1637
5241244,Environmental Science,2025-01-01,20251206180342,381,2913
4870082,Chemistry,2024-01-01,20250430130749,5,63
4941404,Environmental Science,2024-01-01,20250118181745,85,161
4858326,Engineering,2024-01-01,20250618185523,8,94
4769214,Environmental Science,2024-01-01,20250429111212,26,131
4913032,Engineering,2024-01-01,20250429110241,19,55
4542446,Engineering,2023-01-01,20250504135336,15,133
4895003,Engineering,2024-01-01,20250617214357,31,231
4109718,Economics; Econometrics and Finance,2022-01-01,20260107070736,235,1789
5130884,Environmental Science,2025-01-01,20250429164331,51,148
4161847,Environmental Science,2022-01-01,20250507163704,19,194
5071263,Mathematics,2024-01-01,20250429201210,31,124
2387027,Economics; Econometrics and Finance,2014-01-01,20250426065252,155,1207
4797913,Engineering,2024-01-01,20250429103355,20,101
4581187,Materials Science,2023-01-01,20250503143950,49,241
5255377,Business; Management and Accounting,2025-01-01,20250521133100,6,38
3191394,Social Sciences,2018-01-01,20220321160131,45,272
2277812,Economics; Econometrics and Finance,2013-01-01,20260109012415,283,2556
4508268,Business; Management and Accounting,2023-01-01,20251111073624,1427,5009
4058009,Engineering,2022-01-01,20250505103652,92,373
466820,Economics; Econometrics and Finance,2004-01-01,20250425191511,252,1617
965608,Business; Management and Accounting,2007-01-01,20260111195411,274,2658
5070362,Materials Science,2024-01-01,20250430060658,8,51
4037775,Social Sciences,2022-01-01,20250505232314,141,259
5617140,Social Sciences,2025-01-01,20251020000009,7,30
4701006,Engineering,2024-01-01,20250619084116,24,129
4834727,Decision Sciences,2024-01-01,20250429130548,13,106
4293625,Business; Management and Accounting,2022-01-01,20250505210617,16,305
4833212,Medicine,2024-01-01,20250707061558,23,175
3612941,Economics; Econometrics and Finance,2020-01-01,20241211092127,115,797
4848550,Engineering,2024-01-01,20250430081956,16,50
1946094,Economics; Econometrics and Finance,2011-01-01,20250426105230,111,1023
5050389,Materials Science,2024-01-01,20250430115405,14,72
921067,Psychology,2006-01-01,20250506233020,228,1410
4311421,Computer Science,2022-01-01,20250505153210,71,423
4362425,Physics and Astronomy,2023-01-01,20250504223918,45,154
4772180,Energy,2024-01-01,20250429170650,22,164
5232247,Biochemistry; Genetics and Molecular Biology,2025-01-01,20251113132341,36,259
3522406,Social Sciences,2020-01-01,20240724005746,143,639
3925237,Social Sciences,2021-01-01,20250506194414,121,739
2906378,Computer Science,2017-01-01,20250426213929,102,872
4048704,Materials Science,2022-01-01,20250507051431,145,429
5799239,Materials Science,2025-01-01,20251127133938,4,18
4757722,Environmental Science,2024-01-01,20240428145514,5,42
922775,Business; Management and Accounting,2006-01-01,20180603140712,3,47
4521582,Engineering,2023-01-01,20250503235232,25,166
5257828,Engineering,2025-01-01,20250522203006,1,13
1392304,Business; Management and Accounting,2011-01-01,20250426141302,482,2821
3502780,Social Sciences,2019-01-01,20250826194855,130,907
3306590,Economics; Econometrics and Finance,2018-01-01,20250514140018,106,708
2184720,Environmental Science,2012-01-01,20200325035508,217,1348
4638324,Medicine,2023-01-01,20250503111210,49,203
4291605,Social Sciences,2022-01-01,20250506073004,48,175
3816985,Environmental Science,2021-01-01,20250506041605,78,473
4592520,Engineering,2023-01-01,20240412224929,10,65
3722610,Social Sciences,2020-01-01,20250506184434,119,513
2735942,Business; Management and Accounting,2016-01-01,20250601080315,65,640
4898348,Arts and Humanities,2024-01-01,20260426010034,50,343
3866551,Agricultural and Biological Sciences,2021-01-01,20251028162027,153,1886
4724749,Social Sciences,2024-01-01,20251231041116,61,667
1971275,Social Sciences,2011-01-01,20240610101451,173,1281
4402993,Computer Science,2023-01-01,20251116020649,48,234
5252627,Physics and Astronomy,2025-01-01,20250529175721,1,41
4499231,Biochemistry; Genetics and Molecular Biology,2023-01-01,20250503235127,100,620
4855084,Engineering,2024-01-01,20250430180138,59,277
4272803,Materials Science,2022-01-01,20221127013233,5,140
4764299,Social Sciences,2024-01-01,20250430003313,76,369
1091249,Economics; Econometrics and Finance,2008-01-01,20250221130608,269,1850
4358398,Engineering,2023-01-01,20250429102425,56,242
4155307,Computer Science,2022-01-01,20250506150653,28,201
4779111,Business; Management and Accounting,2024-01-01,20250429212943,190,550
3121905,Social Sciences,2018-01-01,20250629164423,1069,3912
5131897,Biochemistry; Genetics and Molecular Biology,2025-01-01,20250501165821,14,87
645381,Economics; Econometrics and Finance,2005-01-01,20250816065745,226,2321
4624613,Business; Management and Accounting,2023-01-01,20250123094344,23,106
4476386,Engineering,2023-01-01,20250503163523,10,97
1433,Engineering,1996-01-01,20250426162718,178,1210
983728,Social Sciences,2007-01-01,20251024142347,1401,8313
3140837,Economics; Econometrics and Finance,2018-01-01,20250425160103,14216,42849
4978036,Environmental Science,2024-01-01,20250429233808,12,100
4054872,Economics; Econometrics and Finance,2022-01-01,20250521213319,292,1265
4481718,Materials Science,2023-01-01,20240422092245,36,124
2586128,Business; Management and Accounting,2015-01-01,20250425221141,354,1958
2766934,Economics; Econometrics and Finance,2016-01-01,20250927203046,151,1201
4852305,Earth and Planetary Sciences,2024-01-01,20250615182711,9,101
4653902,Materials Science,2023-01-01,20250617052122,40,268
2305136,Economics; Econometrics and Finance,2013-01-01,20251104142052,1310,7857
3629801,Business; Management and Accounting,2020-01-01,20260621124008,664,2665
5075329,Social Sciences,2025-01-01,20251023000442,86,1283
4465671,Engineering,2023-01-01,20260114034018,71,539
4927128,Computer Science,2024-01-01,20250618041349,228,651
4482868,Social Sciences,2023-01-01,20250504023634,58,282
5093821,Computer Science,2025-01-01,20250502093050,41,125
4791264,Engineering,2024-01-01,20250501074757,26,123
4893481,Psychology,2024-01-01,20250617213150,85,339
4075669,Environmental Science,2022-01-01,20220515024332,4,33
4008694,Engineering,2022-01-01,20240711035532,89,269
3742724,Business; Management and Accounting,2020-01-01,20250507173519,571,1344
4133109,Chemical Engineering,2022-01-01,20250505235837,28,138
4227596,Materials Science,2022-01-01,20250505131448,58,284
2803107,Economics; Econometrics and Finance,2016-01-01,20250425161303,120,809
3966551,Computer Science,2021-01-01,20251226003407,354,1754
4072493,Medicine,2022-01-01,20250506001841,19,184
2661881,Business; Management and Accounting,2015-01-01,20260102082225,908,4290
5139175,Engineering,2025-01-01,20250429142029,3,61
4620909,Engineering,2023-01-01,20250504010105,38,142
1750729,Social Sciences,2010-01-01,20250912002925,70,924
1119963,Social Sciences,2008-01-01,20250426223957,8,79
3777247,Social Sciences,2019-01-01,20250506192420,54,293
3306880,Economics; Econometrics and Finance,2018-01-01,20250513004135,73,796
2025887,Social Sciences,2012-01-01,20250427074701,189,1110
3155551,Biochemistry; Genetics and Molecular Biology,2018-01-01,20240424232958,56,652
1843364,Social Sciences,2011-01-01,20250529082053,332,2298
3878375,Economics; Econometrics and Finance,2021-01-01,20250506175051,863,3629
4978232,Engineering,2024-01-01,20250430095650,37,114
2834215,Social Sciences,2016-01-01,20250506223208,172,1705
4727359,Business; Management and Accounting,2024-01-01,20240425083738,15,81
5726143,Economics; Econometrics and Finance,2025-01-01,20251226114835,6,26
5041539,Engineering,2024-01-01,20250502075931,16,106
914476,Decision Sciences,2006-01-01,20250514115609,310,2014
4455535,Agricultural and Biological Sciences,2023-01-01,20250504114234,22,169
4967225,Environmental Science,2024-01-01,20250430130808,28,78
1645999,Business; Management and Accounting,2010-01-01,20250426224259,72,443
3980403,Agricultural and Biological Sciences,2021-01-01,20250505181824,74,297
4387645,Social Sciences,2023-01-01,20250503090118,122,556
4871473,Agricultural and Biological Sciences,2024-01-01,20250430101621,13,70
2551447,Economics; Econometrics and Finance,2014-01-01,20250427075720,157,1503
2198696,Economics; Econometrics and Finance,2013-01-01,20250712210841,66,705
97608,Economics; Econometrics and Finance,1998-01-01,20250425233754,86,994
4699025,Psychology,2024-01-01,20240809201619,33,189
996585,Economics; Econometrics and Finance,2007-01-01,20250426064600,137,1275
4159329,Biochemistry; Genetics and Molecular Biology,2022-01-01,20250506081327,37,209
3813628,Engineering,2021-01-01,20241126072226,1091,2771
5007761,Business; Management and Accounting,2025-01-01,20250429123125,76,411
4987279,Physics and Astronomy,2024-01-01,20250619205450,78,422
4347891,Earth and Planetary Sciences,2023-01-01,20250503101309,58,225
3760307,Business; Management and Accounting,2021-01-01,20250506205046,95,406
882509,Business; Management and Accounting,2006-01-01,20251228040242,330,2540
3532468,Social Sciences,2020-01-01,20251015174736,84,532
5626173,Arts and Humanities,2025-01-01,20251023073556,1,21
4357153,Environmental Science,2023-01-01,20250504015308,18,105
4368001,Engineering,2023-01-01,20250503224857,111,372
4837954,Engineering,2024-01-01,20250429154308,11,78
1687576,Economics; Econometrics and Finance,2010-01-01,20250331081952,59,778
3437620,Social Sciences,2019-01-01,20250510183640,627,2219
949813,Business; Management and Accounting,2006-01-01,20251104005022,188,1301
2233223,Psychology,2013-01-01,20240905005715,232,1082
951795,Economics; Econometrics and Finance,2006-01-01,20250426013950,289,3158
5084092,Engineering,2025-01-01,20250429160740,46,206
5235873,Social Sciences,2025-01-01,20250531132107,21,138
4896607,Social Sciences,2024-01-01,20250910102157,32,386
5249738,Computer Science,2025-01-01,20250514233539,3,45
1972157,Economics; Econometrics and Finance,2011-01-01,20260122130506,92,1404
4306137,Agricultural and Biological Sciences,2022-01-01,20250505100518,26,160
4784637,Environmental Science,2024-01-01,20241211044325,15,90
648601,Business; Management and Accounting,2005-01-01,20221222010318,152,1389
4336577,Materials Science,2023-01-01,20250503090148,23,159
942016,Economics; Econometrics and Finance,2006-01-01,20251228173300,388,2359
5552760,Social Sciences,2025-01-01,20251120185336,21,173
275968,Mathematics,2001-01-01,20250426003133,254,1631
1957156,Social Sciences,2011-01-01,20250426015926,82,854
4226399,Economics; Econometrics and Finance,2022-01-01,20250505045611,65,394
3968973,Materials Science,2021-01-01,20250508231800,28,380
3805239,Engineering,2021-01-01,20240710160151,54,348
4543168,Engineering,2023-01-01,20251012165213,33,218
334121,Social Sciences,2002-01-01,20260124185420,1923,11365
2229690,Business; Management and Accounting,2013-01-01,20260311082346,263,3081
4444422,Engineering,2023-01-01,20240423013949,22,104
3722335,Social Sciences,2020-01-01,20241108184708,78,287
4863229,Engineering,2024-01-01,20250430101600,26,117
282954,Social Sciences,2001-01-01,20250425173759,260,1862
1624873,Computer Science,2010-01-01,20240710221923,86,1133
4649051,Physics and Astronomy,2023-01-01,20250503213359,25,101
4297035,Engineering,2022-01-01,20250505102325,72,330
3351206,Economics; Econometrics and Finance,2019-01-01,20250510103237,1106,2102
5235662,Medicine,2025-01-01,20250508144335,9,48
4976201,Economics; Econometrics and Finance,2024-01-01,20250429194034,15,79
5205648,Engineering,2025-01-01,20250429131450,5,65
3753809,Business; Management and Accounting,2020-01-01,20250506155835,454,2392
3523910,Economics; Econometrics and Finance,2020-01-01,20260307220333,544,3418
2792085,Business; Management and Accounting,2016-01-01,20250714160243,880,4228
4067940,Materials Science,2022-01-01,20250505184357,89,321
5114935,Social Sciences,2025-01-01,20250429223943,232,669
4442668,Environmental Science,2023-01-01,20240422165131,11,62
3479783,Social Sciences,2019-01-01,20250510110249,312,1196
5227698,Business; Management and Accounting,2025-01-01,20250523113149,30,118
4402519,Energy,2023-01-01,20250503204507,16,146
4668492,Chemical Engineering,2023-01-01,20250504175910,12,168
5361163,Social Sciences,2025-01-01,20260103002732,68,1169
5130189,Economics; Econometrics and Finance,2025-01-01,20250429133349,18,70
747904,Social Sciences,2005-01-01,20250812102957,578,3187
5085687,Computer Science,2025-01-01,20250501163201,42,219
4737199,Economics; Econometrics and Finance,2024-01-01,20250903235559,302,978
3523188,Economics; Econometrics and Finance,2020-01-01,20250507014312,90,587
4997536,Chemistry,2024-01-01,20250430135342,31,153
281908,Economics; Econometrics and Finance,2001-01-01,20250427131501,252,1951
4780650,Engineering,2024-01-01,20250430132735,33,151
2232069,Social Sciences,2013-01-01,20250426125709,48,774
4766644,Materials Science,2024-01-01,20250619105052,5,101
4589827,Business; Management and Accounting,2023-01-01,20250504002242,84,330
4069734,Earth and Planetary Sciences,2022-01-01,20240416182901,21,121
2551211,Social Sciences,2013-01-01,20251025203615,108,1205
4187588,Engineering,2022-01-01,20250505203154,25,146
4650258,Materials Science,2023-01-01,20250505003203,16,147
3794811,Health Professions,2021-01-01,20240817185432,266,1536
3282312,Mathematics,2018-01-01,20241221004302,87,1070
5113316,Computer Science,2025-01-01,20250430122926,13,96
4123926,Engineering,2022-01-01,20250505121111,47,206
4352120,Economics; Econometrics and Finance,2023-01-01,20250503223414,134,506
3018243,Business; Management and Accounting,2017-01-01,20250426002946,238,1290
4161754,Economics; Econometrics and Finance,2022-01-01,20240406053600,59,304
1259697,Social Sciences,2008-01-01,20250426235610,553,2911
1752663,Economics; Econometrics and Finance,2011-01-01,20250426010934,130,991
4733392,Health Professions,2024-01-01,20250430210038,184,808
2220380,Social Sciences,2013-01-01,20260611154656,1441,8928
4092423,Environmental Science,2022-01-01,20250505083015,22,186
5084574,Computer Science,2025-01-01,20250429163603,29,235
3546247,Economics; Econometrics and Finance,2020-01-01,20250506170530,107,876
4146139,Health Professions,2022-01-01,20250914131219,37,333
5930160,Nursing,2025-01-01,20251226155119,14,72
1033205,Economics; Econometrics and Finance,2007-01-01,20240429152135,142,1342
4876397,Computer Science,2024-01-01,20250430145825,33,157
1081970,Social Sciences,2008-01-01,20250425224356,316,1761
3452255,Economics; Econometrics and Finance,2019-01-01,20260108025108,2026,11309
3590909,Social Sciences,2017-01-01,20250507180717,550,1298
2606423,Economics; Econometrics and Finance,2015-01-01,20250425235556,138,758
5553906,Engineering,2025-01-01,20251013214453,1,25
5668410,Business; Management and Accounting,2025-01-01,20260121152156,20,136
1713045,Business; Management and Accounting,2010-01-01,20250426003034,102,933
2403763,Energy,2014-01-01,20250426153220,54,762
2694998,Decision Sciences,2015-01-01,20260603003144,6595,25978
1163003,Business; Management and Accounting,2008-01-01,20250331135317,851,3482
4398696,Economics; Econometrics and Finance,2023-01-01,20250503180525,60,351
4934078,Energy,2024-01-01,20250429182411,11,157
1615266,Economics; Econometrics and Finance,2010-01-01,20250426144530,160,1990
3599576,Psychology,2019-01-01,20250508100649,136,551
5868629,Materials Science,2025-01-01,20260103100436,3,23
4730016,Materials Science,2024-01-01,20250429190118,22,136
4461960,Decision Sciences,2023-01-01,20250503230528,38,149
4685539,Engineering,2024-01-01,20250502182800,7,88
3832481,Business; Management and Accounting,2021-01-01,20250419090950,58,441
4037458,Social Sciences,2022-01-01,20250506053046,135,628
2781485,Social Sciences,2016-01-01,20250427002320,455,1785
1001228,Economics; Econometrics and Finance,2007-01-01,20251228014557,3588,15551
4957908,Social Sciences,2024-01-01,20251031221443,71,895
1473765,Economics; Econometrics and Finance,2009-01-01,20250506194146,64,887
3947581,Energy,2021-01-01,20250506161156,39,223
5070006,Environmental Science,2025-01-01,20250429175829,50,188
4366504,Engineering,2023-01-01,20250503172937,57,194
4907817,Economics; Econometrics and Finance,2024-01-01,20250429225713,15,92
2582802,Engineering,2015-01-01,20250417183329,123,659
4816953,Neuroscience,2024-01-01,20250430194652,37,247
2702243,Business; Management and Accounting,2015-01-01,20251203103436,498,2258
2569832,Economics; Econometrics and Finance,2015-01-01,20241120231337,131,1892
4042835,Engineering,2022-01-01,20250703123427,53,283
4390581,Engineering,2023-01-01,20250525032820,60,427
4623555,Engineering,2023-01-01,20250503091726,11,117
1924902,Social Sciences,2011-01-01,20250426095518,432,1922
313594,Economics; Econometrics and Finance,2002-01-01,20251219065049,2651,12673
3582693,Agricultural and Biological Sciences,2020-01-01,20250507022132,35,1005
2663754,Social Sciences,2015-01-01,20250506011846,47,592
4719873,Business; Management and Accounting,2024-01-01,20250504122531,105,420
3055081,Business; Management and Accounting,2017-01-01,20250910173547,45,595
1409402,Psychology,2009-01-01,20250426053207,601,2911
4460579,Environmental Science,2023-01-01,20250503210909,100,489
